Dataset,Trial_1,Trial_1_params,Trial_2,Trial_2_params,Trial_3,Trial_3_params,Trial_4,Trial_4_params,Trial_5,Trial_5_params,Trial_6,Trial_6_params,Trial_7,Trial_7_params,Trial_8,Trial_8_params,Trial_9,Trial_9_params,Trial_10,Trial_10_params,Trial_11,Trial_11_params,Trial_12,Trial_12_params,Trial_13,Trial_13_params,Trial_14,Trial_14_params,Trial_15,Trial_15_params,Trial_16,Trial_16_params,Trial_17,Trial_17_params,Trial_18,Trial_18_params,Trial_19,Trial_19_params,Trial_20,Trial_20_params,Trial_21,Trial_21_params,Trial_22,Trial_22_params,Trial_23,Trial_23_params
ACSF1,0.62,,,,,,,,,,0.05,,0.04,,0.1,,0.11,,0.12,,0.1,,0.2,,0.1,,0.07,,0.19,,0.1,,0.18,,0.1,,0.16,,0.12,,0.1,,0.11,,0.1,
Adiac,0.0511508951406649,,,,,,,,,,0.0281329923273657,,0.0306905370843989,,0.0204603580562659,,0.0409207161125319,,0.0332480818414322,,0.0281329923273657,,0.1125319693094629,,0.0664961636828644,,0.0409207161125319,,0.0409207161125319,,0.0537084398976982,,0.0843989769820971,,0.0281329923273657,,0.0409207161125319,,0.0383631713554987,,0.0230179028132992,,0.0792838874680307,,0.0869565217391304,
ArrowHead,0.3942857142857143,,,,,,,,,,0.3028571428571429,,0.56,,0.3028571428571429,,0.4342857142857143,,0.3028571428571429,,0.4114285714285714,,0.5771428571428572,,0.4171428571428571,,0.2057142857142857,,0.3028571428571429,,0.5257142857142857,,0.3714285714285714,,0.3085714285714285,,0.2514285714285714,,0.3942857142857143,,0.4571428571428571,,0.4342857142857143,,0.5771428571428572,
BME,0.3333333333333333,,,,,,,,,,0.3333333333333333,,0.3266666666666666,,0.3333333333333333,,0.3333333333333333,,0.36,,0.3333333333333333,,0.3333333333333333,,0.3866666666666666,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.34,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.36,,0.48,
Beef,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2333333333333333,,0.2333333333333333,,0.2,,0.2,,0.2,,0.2,,0.0666666666666666,,0.0666666666666666,,0.2333333333333333,,0.1666666666666666,,0.2666666666666666,,0.2333333333333333,
BeetleFly,0.5,,,,,,,,,,0.5,,0.55,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.3,,0.7,
BirdChicken,0.5,,,,,,,,,,0.5,,0.65,,0.5,,0.5,,0.5,,0.4,,0.55,,0.5,,0.45,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.55,
CBF,0.3311111111111111,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.5577777777777778,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.6311111111111111,,0.3311111111111111,,0.3355555555555555,,0.3355555555555555,,0.4133333333333333,,0.3333333333333333,,0.3666666666666666,,0.3311111111111111,,0.3311111111111111,,0.56,,0.0155555555555555,
Car,0.3166666666666666,,,,,,,,,,0.15,,0.3333333333333333,,0.3166666666666666,,0.3166666666666666,,0.2333333333333333,,0.1833333333333333,,0.1333333333333333,,0.2166666666666666,,0.2833333333333333,,0.2333333333333333,,0.3333333333333333,,0.2166666666666666,,0.3333333333333333,,0.25,,0.3166666666666666,,0.2333333333333333,,0.2333333333333333,,0.3666666666666666,
Chinatown,0.2740524781341107,,,,,,,,,,0.2740524781341107,,0.7259475218658892,,0.7259475218658892,,0.2740524781341107,,0.2740524781341107,,0.2740524781341107,,0.7259475218658892,,0.0466472303206997,,0.7259475218658892,,0.2740524781341107,,0.9358600583090378,,0.7259475218658892,,0.2740524781341107,,0.2740524781341107,,0.2740524781341107,,0.2740524781341107,,0.2740524781341107,,0.8483965014577259,
